Document type,Title,No.,Topic area , Models and Strategies ,Biological endpoints,Experimental systems,EUProject,Regulatory  information,Supplementary materials (Downloads)
Method summary,Co-culture of primary hepatocytes with another cell type - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,Co-cultures,"Cell adhesion
Cell communication
Cell function: membrane damage
Cell morphology
Cell proliferation
Cell viability
Cellular functional parameters
Chromosomal damage: micronuclei formation
DNA damage: adduct formation
DNA damage: sister chromatid exchange (SCE)
DNA damage: strand breakage
Gene expression: Biomarkers
Gene mutation
Metabolic competence
Metabolic effects
Steatosis","Co-cultures from primary hepatocytes with non-liver cells
Co-cultures from primary hepatocytes with non-parenchymal liver cells",,,
Method summary,Collagen-gel sandwich configuration culture of primary hepatocytes - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,Sandwich Culture of Hepatocytes,"Cell function: membrane damage
Cell function: peroxisome proliferation
Cell viability
Cellular functional parameters
Gene expression profiling (omics techniques)
Gene expression: Cytochrome P450 isoenzymes (CYP450)
Metabolic competence",Primary hepatocytes (mammals),,,
Method summary,Colony Forming Assays - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Colony formation,"BHK-21/C13 - Syrian hamster kidney epithelial cells
SIRC - Rabbit cornea epithelial cell line",,,
Method summary,Computer Assisted Semen Analysis (CASA) - Summary,21,Effects on the male fertility,"Animal Origin
Human Origin
Primary Cell Culture","Sperm function
Sperm morphology
Sperm motility
Sperm viability",Spermatozoa,ReProTect,,
Method summary,Corneal Epithelial Plasminogen Activator (CEPA) Assay - Summary,0,Eye Irritation,"Animal Origin
Primary Cell Culture",Mediator release: plasminogen activator,RCE - Rabbit corneal epithelial cell line,,,
Method summary,Corneal Epithelial Wound Closure (CEWC) Assay - Summary,0,Eye Irritation,"Animal Origin
Primary Cell Culture",Cell migration,RCE - Rabbit corneal epithelial cell line,,,
Method summary,Crystal Violet Staining (CVS) Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Cell number,SIRC - Rabbit cornea epithelial cell line,,,
Method summary,Culture of freshly isolated nonparenchymal liver cells and nonparenchymal cell lines - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Cell Lines
Genetically Engineered Cells
Primary Cell Culture","Apoptosis
Calcium homeostasis perturbation
Cell adhesion
Cell function: membrane damage
Cell morphology
Cell viability
Cell-cell contact: gap junction integrity
Cellular functional parameters
DNA damage: strand breakage
Gene expression: Biomarkers
Gene expression: Heat shock proteins
Gene expression: Metallothionein II
Gene expression: Pro-inflammatory cytokines (e.g. TNF-alpha, IFN-gamma, IL-6 and IL-12)
Gene expression: Transforming growth factor-beta (TGF-&#223;)
Lipid peroxidation
Mediator release: nitric oxide (NO)
Mediator release: prostaglandins
Mediator release: tumor necrosis factor <em>alpha</em> (TNF-<em>alpha</em>)
Metabolic effects","BEC - Human biliary epithelial cells
BEC - Rat intrahepatic biliary epithelial cells
Canine bile duct epithelial cell line
CFSC - cirrhotic fat-storing rat hepatic stellate cell line
CFSC-2G - Rat hepatic stellate cell lines
Hepatic stellate cells
Intrahepatic biliary epithelial cells
LX-2 - Human hepatic stellate cell line
NFSC - Normal fat-storing rat hepatic stellate cell line
Primary mouse hepatic stellate cells
Primary rat hepatic stellate cells
Primary rat liver Kupffer cells
Primary rat liver Kupffer cells
Primary rat portal fibroblasts
T-HSC/Cl-6 - Transfected rat hepatic stellate cell line
WB-Fischer 344 - Rat liver epithelial cell line",,,
Method summary,Culture of Palatal Shelves - Summary,0,Developmental toxicity,"Animal Origin
Cell Lines
Human Origin","Apoptosis
Cell morphology
Cell proliferation
Cellular functional parameters
Embryo growth",Embryonic palatal shelves culture,,,
Method summary,Cultures of Embryonal Carcinoma Cells - Summary,0,Developmental toxicity,"Animal Origin
Cell Lines","Cell differentiation
Cell morphology
Cell proliferation
Cell viability
Cell viability
Gene expression profiling (omics techniques)
Gene expression: Biomarkers","F9 - Mouse embryonal carcinoma cell line
Mouse embryonal carcinoma cells
Mouse F9 and P19 embryonal carcinoma cells co-cultured with END-2 cell line
P19 - Mouse embryonal carcinoma cell line",,,
Method summary,Cytokine Release Assays - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Mediator release: cytokines,"CEPI - Human corneal epithelial cell line
Corneal epithelial cells (human)
NCTC 2544 - Human keratinocyte cell line
Rat corneal epithelial cell line (RtCE)",,,
Method summary,Determination of DNA fragmentation with 4'-6-diamidine-2-phenylindole (DAPI) staining - Summary,0,Drug Discovery and Activity Testing,"Animal Origin
Cell Lines
Human Origin",Apoptosis,Cell line cultures,,,
Method summary,Differentiation of induced-pluripotent stem cells into post-mitotic neurons and glial cells (mixed culture),165,Stem cell culture method,"Human Origin
Stem Cells",,hiPS(IMR90) - Human induced-pluripotent stem cells,SEURAT-1,,
Method summary,Diphenylamine assay - Summary,0,Drug Discovery and Activity Testing,"Animal Origin
Cell Lines
Human Origin",Apoptosis,Cell line cultures,,,
Method summary,Direct Peptide Reactivity Assay (DPRA) - Summary,154,Skin Sensitisation & Allergic Contact Dermatitis,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Direct peptide reactivity,Peptides containing Cys or Lys (synthetic),,https://tsar.jrc.ec.europa.eu/test-method/tm2009-06,
Method summary,DNA fragmentation stains using the bisbenzimide dyes (Hoescht 33258 and Hoescht 3334) - Summary,0,Drug Discovery and Activity Testing,"Animal Origin
Cell Lines
Human Origin",Apoptosis,Cell line cultures,,,
Method summary,DNA methylation analysis using HumanMethylation450k microarray,170,Mechanistic Studies,,"CpG Methylation
Genomic DNA Methylation",Human Methylation 450 BeadChip microarray,SEURAT-1,,
Method summary,Embryonic Palate Mesenchymal Cells Cultures (primary cells and cell lines) - Summary,0,Developmental toxicity,"Animal Origin
Cell Lines
Human Origin","Apoptosis
Cell cycle analysis
Cell proliferation
Cell viability
Generation of Reactive Oxygen Species (ROS)","HEPM - Human embryonal palatal mesenchymal cells
Primary murine embryonic maxillary mesenchymal cells
Primary murine embryonic palatal mesenchymal cells",,,
Method summary,Embryonic Stem Cell Test (EST) - Summary,113,Developmental toxicity,"Animal Origin
Human Origin
Stem Cells","Apoptosis
Cell cycle analysis
Cell differentiation
Cell function: membrane damage
Cell proliferation
Cell viability
Cellular functional parameters
DNA damage: strand breakage
Gene expression profiling (omics techniques)
Gene expression profiling (omics techniques)
Generation of Reactive Oxygen Species (ROS)
Metabolite profile (omics techniques)","3T3 - Mouse fibroblasts
D3 - Mouse embryonic stem cells
Embryonic stem cells (ES)",ReProTect,https://tsar.jrc.ec.europa.eu/test-method/tm1999-01,
Method summary,EpiOcularTM Eye Irritation Test - Summary,164,Eye Irritation,"Corneal Models
Human Origin","Cell viability
Vital dye reduction: MTT to formazan","EpiOcularTM
Reconstituted corneal model",,https://tsar.jrc.ec.europa.eu/test-method/tm2008-10,
Method summary,EpiskinTM and other Keratinocyte-based Dermal Models in eye irritation testing - Summary,0,Eye Irritation,"3-DIMENSIONAL MODELS
Corneal Models
Human Origin
Reconstructed Models of Keratinocytes","Cell viability
Fluorescein leakage (FL)
Mediator release: cytokines","Reconstituted dermal model
RHE EpiSkinTM",,,
Method summary,Extended One Generation Reproductive Toxicity Study - Summary,0,Developmental toxicity,"IN VIVO MODELS
Reduction","Blood: functional and biochemical parameters
Body weight
Developmental effects
Developmental effects
Developmental effects
Mating performance and pregnancy
Oestrus cyclicity
Organ weight
Organism behavior (clinical observation)
Sperm function
Tissue histopathology
Tissue histopathology
Urine content", Rattus norvegicus- Rat,,,
Method summary,Eye Irritation Assays using Liposomes - Summary,0,Eye Irritation,"Animal Origin
Eye & Eye Parts
PHYSICO-CHEMICAL ASSAYS",Cell function: membrane damage,Liposomes,,,
Method summary,Eye Lens Culture Assay - Summary,60,Eye Irritation,"Animal Origin
Eye & Eye Parts","Focal length variability
Optical transparency","Eye lens (bovine)
Eye lens (fish)
Eye lens (porcine)
Eye lens (rabbit)
Eye lens (rat)",,,
Method summary,EYTEX TM System - Summary,110,Eye Irritation,PHYSICO-CHEMICAL ASSAYS,"Optical density
Protein denaturation","EYTEX<sup><span class=""text_small"">TM</span></sup>
IRRITECTION<sup><span class=""text_small"">TM</span></sup>
Protein matrix",,,
Method summary,Fetal Mouse Salivary Glands Cultures - Summary,0,Developmental toxicity,"Animal Origin
Salivary Glands","Apoptosis
Cell proliferation
Lobe formation in <span id=""id_met=278-outerCt"">fetal mouse salivary gland</span>s
Morphological effects
Protein expression",Salivary glands culture (mouse),,,
Method summary,Flow-through Diffusion Cells - Summary,53,Percutaneous Absorption,Viable Skin Explants,"Flux (across skin models)
Permeability coefficient
Relative absorption",Skin tissues (animal or human origin),,,
Method summary,Fluorescein Leakage Test (FLT) - Summary,71,Eye Irritation,"Animal Origin
Cell Lines
Human Origin","Cell-cell contact: tight junction integrity
Cell-cell contact: tight junction integrity
Fluorescein leakage (FL)","MDCK - Madin-Darby canine kidney cell line
NHEK - Normal human epidermal keratinocytes",,https://tsar.jrc.ec.europa.eu/test-method/tm2004-02,
Method summary,Fluorescence Differential Staining Assay - Summary,38,Eye Irritation,"Animal Origin
Cell Lines
Corneal Models
Human Origin
Primary Cell Culture","Cell function: membrane damage
Cell viability","HeLa - Human cervix carcinoma cell line
HEp2 - Human larynx epidermoid carcinoma cell line
LS-L-929 - Mouse fibroblast cell line
Thymocytes (rat)",,,
Method summary,Follicle Culture Bioassay (FBA) - Summary,0,Effects on the female fertility,Animal Origin,"Cell development
Cellular functional parameters
Folliculogenesis
Oogenesis",Follicle culture system,,,
Method summary,Genetically Modified Embryonic Stem Cells (ReProGlo) - Summary,0,Developmental toxicity,Animal Origin,"Cell differentiation
Cell viability
Gene expression profiling (omics techniques)
Gene expression profiling (omics techniques)","3T3 - Mouse fibroblasts
D3 - Mouse embryonic stem cells
Embryonic stem cells (ES)",ReProTect,,
Method summary,Genomics technology to investigate hepatotoxicity in vitro - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin","Gene expression profiling (omics techniques)
Metabolite profile (omics techniques)
Protein expression (omics techniques)","Liver cell lines
Precision-cut liver slices
Primary hepatocytes (mammals)",,,
Method summary,Granulosa and Theca Cell Culture Systems - Summary,92,Effects on the female fertility,"Animal Origin
Human Origin
Primary Cell Culture","Apoptosis
Cell proliferation
Cell viability
Cellular functional parameters","Cell line cultures
Ovarian granulosa cells culture (human)",ReProTect,,
Method summary,Growth Inhibition Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Cell number,"3T3 - Mouse fibroblasts
BHK-21/C13 - Syrian hamster kidney epithelial cells
Keller cells - Immortalized human diploid fibroblastic cell line
MRC-5 Cells",,,
Method summary,Haemoglobin Denaturation (HD) Assay - Summary,109,Eye Irritation,Animal Origin,Protein denaturation,Haemoglobin (bovine),,,
Method summary,Hen's Egg Test on the Chorioallantoic Membrane (HET-CAM),96,Eye Irritation,"Animal Origin
IN OVO METHODS","Blood coagulation: intravascular and extravasular
Blood vessel lysis
Haemorrhage",Chorioallantoic Membrane (CAM) (chicken egg),,,
Method summary,HepaRG repeated dose exposure in vitro assay of mitochondrial health and steatosis,167,Systemic Toxicity,"Cell Lines
Human Origin","Cell function: mitochondrial activity
Cell number
Cell viability
Liver function
Steatosis",HepaRG - Human hepatoma cell line,SEURAT-1,,
Method summary,Hepatocyte cultures on biosensor systems - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Co-cultures
Human Origin
Liver slices
Primary Cell Culture","Cell adhesion
Cell viability
Cellular functional parameters",Liver-on-chip biosensors,,,
Method summary,Hepatocyte spheroid culture using primary hepatocytes or hepatic cell lines - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Hepatocytes Reaggregates
Human Origin
Primary Cell Culture","Cell aggregation
Cell function: membrane damage
Cell function: peroxisome proliferation
Cell morphology
Cell viability
Cellular functional parameters
Enzyme induction: <span id=""id_met=323-outerCt"">cytochrome P450 family</span>
Enzyme induction: peroxisomal bifunctional enzyme
Gene expression: Estrogen receptor-mediated vitellogenin induction
Metabolic competence
Metabolic effects","HepG<sub>2</sub> - Human hepatoma cell line
Spheroids from primary hepatocytes",,,
Method summary,Highest Tolerated Dose (HTD) Assay - Summary,64,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Cell morphology,"3T3 - Mouse fibroblasts
CCC clone 81 - Cat kidney fibroblast cell line
HepG<sub>2</sub> - Human hepatoma cell line
RAW 264.7 - Mous Abelson Murine Leukemia virus-induced tumor cell line
V79 - Chinese hamster fibroblast cell line",,,
Method summary,Histamine Release by Mast Cells - Summary,0,Eye Irritation,"Animal Origin
Primary Cell Culture",Mediator release: histamine,Mast cells (rat),,,
Method summary,Human Corneal Epithelium-transfected (HCE-T) Tissue Construct Model - Summary,0,Eye Irritation,"Cell Lines
Corneal Models
Human Origin","Cell viability
TransEpithelial Permeability (TEP)
Transpithelial Electrical Resistance (TER)","HCE-T - Transformed human corneal epithelial cells
HCR-T - 10.014 pRSV-T transfected human corneal epithelium cells
Reconstituted corneal model",,,
Method summary,Hydra attenuata - Summary,0,Developmental toxicity,,"Cnidaria viability
Embryo development
Embryo viability
<em>Hydra</em> regeneration",Hydra - adult and isolated regions of the body,,,
Method summary,In silico  screening for potential nuclear receptor ligands and alerts towards hepatosteatosis,177,Systemic Toxicity,COMPUTER MODELLING,"Receptor binding: Aryl hydrocarbon receptor (AHR)
Receptor binding: Estrogen receptor (ER)
Receptor binding: Farnesoid X receptor (FXR)
Receptor binding: Glucocorticoid receptor (GR)
Receptor binding: Liver X receptor (LXR)
Receptor binding: Peroxisome proliferator-activated receptor alpha (PPAR&#945;)
Receptor binding: Pregnane X receptor (PXR)
Receptor binding: Retinoic acid receptor (RAR)
Receptor binding: Retinoid X receptor (RXR)",<em>In silico</em>,SEURAT-1,,
Method summary,In silico profiler for covalent DNA binding,178,Systemic Toxicity,COMPUTER MODELLING,DNA damage: adduct formation,<em>In silico</em>,SEURAT-1,,
Method summary,In silico profiler for covalent protein binding,181,Systemic Toxicity,COMPUTER MODELLING,Protein binding,<em>In silico</em>,SEURAT-1,,
Method summary,In silico profiler for hepatotoxicity,179,Systemic Toxicity,COMPUTER MODELLING,Hepatotoxicity,<em>In silico</em>,SEURAT-1,,
Method summary,In silico profiler for mitochondrial toxicity,180,Systemic Toxicity,,,,SEURAT-1,,
Method summary,In silico skin permeability estimation,182,Systemic Toxicity,,,,SEURAT-1,,
Method summary,In vitro approaches for testing neurotoxicity through ionotropic glutamate receptors - Summary,0,Neurotoxicity,"Animal Origin
Primary Cell Culture","Excitotoxicity
Ion flux through ligand-gated channels
Receptor binding: Glutamate receptors
Receptor function: ion flux","African clawed frog (<em>Xenopus Laevis</em>) oocytes
Murine brain membranes (rat and mouse)
Primary neuronal cultures
Transfected cells",,,
Method summary,In vitro approaches for testing neurotoxicity through the GABAA receptor - Summary,0,Neurotoxicity,"Animal Origin
Cell Lines
Primary Cell Culture","Ion channel function, chloride
Ion flux through ligand-gated channels
Receptor binding: gamma Aminobutyric acid receptor (GABA)
Receptor function: ion flux","Brain areas (rat, mice, chick or humans)",,,
Method summary,In vitro approaches for testing neurotoxicity through voltage-sensitive sodium channels - Summary,0,Neurotoxicity,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture","Cell function: membrane depolarisation
Cell viability
Ion channel function, sodium
Ion channel function, toxin binding sites
Ion flux through ligand-gated channels
Spontaneous contractility of myotubes","Brain areas (rat, mice, chick or humans)",,,
Method summary,In vitro Fertilisation Assay - Summary,59,Effects on the female fertility,"Animal Origin
Primary Cell Culture","Cell viability
Embryo morphology
Oocyte fertilisation","Bovine cumulus/oocyte complexes [COCs]
Sperm, cryopreserved",ReProTect,,
Method summary,In vitro Sperm Chromatin Structure Assay (SCSA) - Summary,0,Effects on the male fertility,"Animal Origin
Human Origin
Primary Cell Culture","DNA damage: strand breakage
Sperm function
Sperm motility
Sperm viability",Spermatozoa,ReProTect,,
Method summary,Incubation techniques for the use of liver slices - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Liver slices",,"Hand-cut liver slices
Precision-cut liver slices",,,
Method summary,Innervated Human Corneal Equivalent - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Co-cultures
Corneal Models
Human Origin
Primary Cell Culture",Mediator release: neuropeptide substance P (SP),Reconstituted corneal model,,,
Method summary,Insert Delivery of non-aqueous material - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Cell viability,,,,
Method summary,Ishikawa Cell Test - Summary,0,Effects on the female fertility,Human Origin,"Cell viability
Gene expression: Progesterone receptor
Protein content: progesterone receptor",Ishikawa cells - Human endometrial adenocarcinoma cell line,ReProTect,,
Method summary,Isolated Chicken Eye (ICE) Test - Summary,80,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal thickness
Fluorescein retention
Morphological effects",Enucleated eye (chicken),,,
Method summary,Isolated hepatocyte couplets - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Primary Cell Culture","Calcium homeostasis perturbation
Canalicular function
Cell communication
Cell function: membrane damage
Cell morphology
Cell viability
Lipid peroxidation
Metabolic effects",Isolated rat hepatocyte couplets (IRHC),,,
Method summary,Isolated perfused liver  - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Perfused liver","Calcium homeostasis perturbation
Cell function: membrane damage
Cell morphology
Cell viability
Generation of Reactive Oxygen Species (ROS)
Haemodynamic effects
Ion transport, active
Lipid peroxidation
Liver function
Liver morphology
Metabolic competence
Metabolic effects
Protein oxidation","Isolated perfused mouse liver
Isolated perfused porcine liver
Isolated perfused rat liver (IPRL)",,,
Method summary,Isolated Rabbit Eye (IRE) Test - Summary,85,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal histology
Corneal opacity
Corneal thickness
Fluorescein retention",Enucleated eye (rabbit),,,
Method summary,KeratinoSens™  - Summary,155,Skin Sensitisation & Allergic Contact Dermatitis,"Cell Lines
Genetically Engineered Cells
Human Origin",Gene expression: Antioxidant response element (ARE)-mediated,KeratinoSens&#8482; cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2010-03,
Method summary,Lactate Dehydrogenase (LDH) Leakage - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Cell function: membrane damage,"HEL-30 - Mouse epidermal keratinocyte cell line
HeLa S3 - Human cervix carcinoma cell line, clone S3
RCE - Rabbit corneal epithelial cell line
SQ-5",,,
Method summary,Leucine Incorporation Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Protein synthesis,HEL-30 - Mouse epidermal keratinocyte cell line,,,
Method summary,Leydig Cell-enriched Cultures - Summary,0,Effects on the male fertility,"Animal Origin
Co-cultures
Human Origin","Apoptosis
Cell function: membrane damage
Cell morphology
Cell proliferation
Cell viability
Cell-cell contact: gap junction integrity
Cellular functional parameters
DNA damage: strand breakage","BLT1- Immortalized murine Leydig tumor cell line
Leydig primary cell cultures (mammalian)
Leydig primary cell cultures (mammalian)
MA-10 - Mouse Leydig tumor cell line
MLTC-1 - Mouse Leydig cell tumor cell line
TM3 - Immortalised mouse Leydig cell line",ReProTect,,
Method summary,Limb Buds Cultures - Summary,0,Developmental toxicity,"Animal Origin
EMBRYO CULTURE","Apoptosis
Cell differentiation
Embryo growth
Embryonic tissue malformation
Gene expression profiling (omics techniques)
Gene expression profiling (omics techniques)","Embryonic limb bud cultures (mouse, rat, chick)",,,
Method summary,Living Dermal Equivalent (LDE) - Summary,0,Eye Irritation,"Human Origin
Lattice Culture of Skin Fibroblasts",Cell viability,"MATREXTM
Reconstituted dermal model
TESTSKINTM",,,
Method summary,Long-Term Corneal Organ Culture Assay - Summary,0,Eye Irritation,"Animal Origin
Eye & Eye Parts",Corneal epithelium integrity,"Cornea (bovine)
Cornea (porcine)",,,
Method summary,Low Volume Eye Test (LVET) - Summary,0,Eye Irritation,Refinement,"Conjunctival irritation
Corneal opacity
Iris lesion",Eye (rabbit),,,
Method summary,Luminescent Bacteria Toxicity (LBT) Test (MicrotoxTM) - Summary,0,Eye Irritation,Microorganisms,Reduction of light emission,"Luminescent bacteria
Microtox<sup>TM</sup>",,,
